Q1,Q2,Q3,Q4_A,Q4_B,Q4_C,Q4_D,Q4_E,Q4_F,Q4_G,Q4_H,Q4_I,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q12_a,Q12_b,Q12_c_A,Q12_c_B,Q12_c_C,Q12_c_D,Q12_c_E,Q12_c_F,Q12_c_G,Q12_c_H,Q12_c_I,Q12_c_J,Q12_d,Q13,Q14,Q15,Q16,Q17,Q18,Q19_a,Q19_b,Q19_c,Q19_d,Q20,Q21,organization,benchmark_group
No,N/A - No review conducted yet,"Process has been designed, not yet implemented",N/A,Process in-place (with designated and trained teammates or usage of technology) to review and revise job descriptions prior to posting to ensure gender-biased language is eliminated,N/A,"Requirement to post jobs on a diverse group of job boards, recruiting firms, etc to ensure opportunities are accessible to a diverse candidate pool",N/A,Training for HR and all hiring managers on how to identify and reduce gender equity biases throughout the recruitment process,N/A,N/A,N/A,In progress,N/A - No targets set,No,In progress of designing and implementing,In progress,No,N/A - No anti-bias performance review plan in place yet,We are a small team (7 people) and haven't made a hire in almost 2 years.  We have ambitions to employ many of the practices listed but aren't quite there yet!,57,43,,,,,,Women who identify as White/Caucasian,,,,,Not very hard given our organization is so small,Nearing goals (66-99% targets met),In development,We have various plans in place in terms of training and development.  Nothing is firm yet though as we're still fundraising (and have no budget for anything until we close!),0,1,0,,,No,N/A,N/A,Some of these questions are hard based on the small size of our org.  Happy to elaborate!,Company 1F,Finance
In progress,N/A - No review conducted yet,Process has been designed and implemented,N/A,Process in-place (with designated and trained teammates or usage of technology) to review and revise job descriptions prior to posting to ensure gender-biased language is eliminated,"Move toward skills-based competencies and growth mindsets and away from focus on certain schools, prior experiences","Requirement to post jobs on a diverse group of job boards, recruiting firms, etc to ensure opportunities are accessible to a diverse candidate pool",N/A,Training for HR and all hiring managers on how to identify and reduce gender equity biases throughout the recruitment process,Oversight and support by trained HR or other designated-internal teams to ensure unbiased recruitment process,N/A,N/A,Yes,N/A - Plan in place for less than 12 months,No,In progress of designing and implementing,In progress,No,N/A - No anti-bias performance review plan in place yet,New to this role and completely re-vamping performance reviews this year. Plan to create a rubric and train managers to calibrate on ratings.,3,100,,,,,,Women who identify as White/Caucasian,,,,,it's challenging just because I'm new to the role and don't have very clear data over the past year. Since starting in my role I've been tracking so shouldn't be an issue going forward.,N/A - No targets were established,In development,"plan to focus on development opportunities for staff. I also think our plan is also focused on racial diversity, as we are a predominately female organization as it is.",0,1,1,,,No,N/A,N/A,some of the pieces in development don't have firm numbers attached such as the budget for professional development.,Company 1E,NonProfit
Yes,No low-diversity teams were identified.,Process has been designed and implemented,N/A,Process in-place (with designated and trained teammates or usage of technology) to review and revise job descriptions prior to posting to ensure gender-biased language is eliminated,"Move toward skills-based competencies and growth mindsets and away from focus on certain schools, prior experiences","Requirement to post jobs on a diverse group of job boards, recruiting firms, etc to ensure opportunities are accessible to a diverse candidate pool",N/A,Training for HR and all hiring managers on how to identify and reduce gender equity biases throughout the recruitment process,Oversight and support by trained HR or other designated-internal teams to ensure unbiased recruitment process,N/A,N/A,No,N/A - No targets set,No,No,No,No,N/A - No anti-bias performance review plan in place yet,n/a,20,80,,,,,,Women who identify as White/Caucasian,Women who identify as Disabled,Women who identify as LGBTQ,,,easy!,N/A - No targets were established,No,N/A,N/A,N/A,N/A,,,No,N/A,N/A,n/a,Company1D,
No,N/A - No review conducted yet,No process has been designed yet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A - No targets set,"Yes, with many but not all cohorts having a diverse population",No,No,No,N/A - No anti-bias performance review plan in place yet,We have not fully established a performance review process.,6,6,,,,,,Women who identify as White/Caucasian,,,,,"It is difficult, we have very few promotioal opportunities with a small staff.",N/A - No targets were established,No,N/A,N/A,N/A,N/A,,At the on-ramping/workforce re-entry level for mid-career women,N/A,N/A,0,"We host a number of interns through our engineering intern program and through our CDL (commercial driver's license) training program.  With a small department and limited full time positions, we do not ways have opportunities for these employees to come board full time.",Company1C,
Yes,A hiring and promotion plan is in place to address the low-diversity teams that have been found within the organization,Process has been designed and implemented,N/A,Process in-place (with designated and trained teammates or usage of technology) to review and revise job descriptions prior to posting to ensure gender-biased language is eliminated,N/A,"Requirement to post jobs on a diverse group of job boards, recruiting firms, etc to ensure opportunities are accessible to a diverse candidate pool",N/A,N/A,N/A,N/A,N/A,No,N/A - No targets set,"Yes, with all cohorts having a diverse population",No,In progress,No,N/A - No anti-bias performance review plan in place yet,We have not been tracking performance review results.,7,33,,,,,,,,Women who identify as LGBTQ,,,Not challenging,N/A - No targets were established,No,N/A,N/A,N/A,N/A,,At the on-ramping/workforce re-entry level for mid-career women,N/A,N/A,0,"We are working towards improving our gender disparity by tracking numbers, imbedding gender into recruitment efforts and joining groups like Women In Private Equity.",Company1B,
Yes,No low-diversity teams were identified.,Process has been designed and implemented,Statement about gender equity goals in recruitment on all job postings,Process in-place (with designated and trained teammates or usage of technology) to review and revise job descriptions prior to posting to ensure gender-biased language is eliminated,"Move toward skills-based competencies and growth mindsets and away from focus on certain schools, prior experiences","Requirement to post jobs on a diverse group of job boards, recruiting firms, etc to ensure opportunities are accessible to a diverse candidate pool",N/A,N/A,N/A,N/A,N/A,In progress,N/A - No targets set,No,In progress of designing and implementing,,In progress,N/A - No anti-bias performance review plan in place yet,In Progress,0,0,,,,,,,,,,None,We are a very small team who has not promoted anyone in the last 12 months,N/A - No targets were established,In development,In Development,0,0,0,At the secondary or tertiary education level,At the on-ramping/workforce re-entry level for mid-career women,N/A,N/A,0,"As a small but growing team, we are working to find new and innovative ways to track, report, and improve our hiring pipeline. Through our Change The Face of Finance Program, we work to train young people of marginalized genders across our organization to Change The Face of Finance",Company1A,
Yes,In progress of determining,No process has been designed yet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A - No targets set,No,No,In progress,No,N/A - No anti-bias performance review plan in place yet,,,,,,,,,,,,,,,N/A - No targets were established,In development,N/A,N/A,N/A,N/A,,,No,N/A,N/A,,Company 1M,
Yes,In progress of determining,"Process has been designed, not yet implemented",N/A,Process in-place (with designated and trained teammates or usage of technology) to review and revise job descriptions prior to posting to ensure gender-biased language is eliminated,"Move toward skills-based competencies and growth mindsets and away from focus on certain schools, prior experiences","Requirement to post jobs on a diverse group of job boards, recruiting firms, etc to ensure opportunities are accessible to a diverse candidate pool",Blind resume review and blind auditions (as applicable),Training for HR and all hiring managers on how to identify and reduce gender equity biases throughout the recruitment process,Oversight and support by trained HR or other designated-internal teams to ensure unbiased recruitment process,N/A,N/A,In progress,N/A - No targets set,No,Yes,No,No,N/A - No anti-bias performance review plan in place yet,,100,100,Women who identify as Black or African American,,,,,,,,,,,N/A - No targets were established,Yes,N/A,70,1,0,At the secondary or tertiary education level,,N/A,N/A,100,"Only one intern was in their program, but that candidate was hired full-time",Company 1L,NonProfit
No,N/A - No review conducted yet,No process has been designed yet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A - No targets set,No,No,No,No,N/A - No anti-bias performance review plan in place yet,No since we are majority of our staff historically and continue to be women. We do not ask staff to disclose LGBTQ,,100,Women who identify as Black or African American,,,,,,,,,,,N/A - No targets were established,In development,"progress developing a retention program for staff of color that includes mentorship, we have provided DE &I training for all staff and created a Equity& Inclusion Director position.",,0,N/A,,,N/A,Hired interns out of college,No response,,Company 1K,NonProfit
No,N/A - No review conducted yet,No process has been designed yet,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A - No targets set,"Yes, with many but not all cohorts having a diverse population",In progress of designing and implementing,Yes,No,N/A - No anti-bias performance review plan in place yet,n/a,5,2,,,,,,Women who identify as White/Caucasian,,,,,very challenging,N/A - No targets were established,No,N/A,N/A,N/A,N/A,At the secondary or tertiary education level,,N/A,N/A,25,"We are still working on identification options. Currently, the HRIS we use only has two options: Male/Female. This limits our understanding of gender reflection across the organization.",Company 1J,Finance
